0,57
100,25
200,41
300,57
400,32
500,26
600,40
700,57
800,32
900,25
1000,41
1100,57
1200,32
1300,25
1400,41
1500,57
1600,32
1700,25
1800,40
1900,57
2000,32
2100,25
2200,40
2300,57
2400,33
2500,24
2600,40
2700,57
2800,32
2900,26
3000,40
3100,57
3200,32
3300,25
3400,40
3500,56
3600,32
3700,25
3800,40
3900,57
4000,32
4100,24
4200,40
4300,56
4400,33
4500,25
4600,40
4700,57
4800,32
4900,25
5000,40
5100,57
5200,32
5300,25
5400,41
5500,58
5600,33
5700,26
5800,41
5900,57
6000,32
6100,25
6200,41
6300,57
6400,32
6500,26
6600,41
6700,57
6800,33
6900,25
7000,40
7100,57
7200,33
7300,24
7400,40
7500,57
7600,31
7700,25
7800,41
7900,58
8000,33
8100,25
8200,40
8300,56
8400,33
8500,25
8600,41
8700,56
8800,32
8900,26
9000,41
9100,56
9200,32
9300,24
9400,40
9500,57
9600,32
9700,25
9800,40
9900,57
10000,32
10100,25
10200,40
10300,57
10400,33
10500,25
10600,40
10700,56
10800,32
10900,24
11000,41
11100,57
11200,32
11300,26
11400,40
11500,57
11600,33
11700,26
11800,40
11900,57
12000,33
12100,25
12200,40
12300,56
12400,32
12500,25
12600,41
12700,56
12800,32
12900,25
13000,41
13100,58
13200,33
13300,26
13400,41
13500,57
13600,31
13700,25
13800,40
13900,56
14000,32
14100,26
14200,40
14300,56
14400,33
14500,25
14600,41
14700,57
14800,33
14900,25
15000,40
15100,57
15200,32
15300,26
15400,41
15500,56
15600,33
15700,26
15800,41
15900,57
16000,32
16100,25
16200,40
16300,56
16400,33
16500,26
16600,41
16700,57
16800,32
16900,25
17000,40
17100,56
17200,32
17300,25
17400,41
17500,57
17600,33
17700,26
17800,41
17900,57
18000,32
18100,25
18200,41
18300,57
18400,32
18500,26
18600,40
18700,56
18800,33
18900,25
19000,40
19100,57
19200,32
19300,24
19400,40
19500,56
19600,31
19700,25
19800,41
19900,57
